variant,run_id,device,batch_size,lat_exit1_ms,lat_exit2_ms,lat_exit3_ms,exit1_flops,exit2_flops,exit3_flops,expected_mflops,full_mflops,compute_saving_pct,K,tap_blocks,n_mels,frames,lat_exit4_ms,exit4_flops,lat_exit5_ms,exit5_flops
v0.5_hint,v0_5_hint_003,cpu,16,0.2919663793716775,2.0263655109545975,2.8935675859967995,1861696.0,12920928.0,18450560.0,14.350135335384614,51.628288,72.20489795171086,5,"1,2,3,4",64,101,4.6279717360812045,29509824.0,8.096769999247044,51628288.0
v0.5_hint,v0_5_hint_004,cpu,16,0.2812458571445432,1.9519607231593816,2.787320573282009,1861696.0,12920928.0,18450560.0,12.597670203076923,51.628288,75.59928734596637,5,"1,2,3,4",64,101,4.4580402735272635,29509824.0,7.799470005556941,51628288.0
v0.5_hint,v0_5_hint_005,cpu,16,0.2813599856340285,1.9527528213297531,2.7884516572736797,1861696.0,12920928.0,18450560.0,13.057053538461538,51.628288,74.70949736225703,5,"1,2,3,4",64,101,4.459849329161533,29509824.0,7.802635000552982,51628288.0
v0.5_hint,v0_5_hint_006,cpu,16,0.28939478812700786,2.008517621010263,2.8680815246015703,1861696.0,12920928.0,18450560.0,13.05705412923077,51.628288,74.70949621798273,5,"1,2,3,4",64,101,4.5872093317841856,29509824.0,8.025454997550696,51628288.0
v0.5_hint,v0_5_hint_007,cpu,16,0.28999536111933155,2.0126858420262397,2.874033574790886,1861696.0,12920928.0,18450560.0,14.350135335384614,51.628288,72.20489795171086,5,"1,2,3,4",64,101,4.596729040320179,29509824.0,8.042110002133995,51628288.0
v0.5_hint,v0_5_hint_008,cpu,16,0.2908523178016486,2.0186334702057795,2.8825265460839926,1861696.0,12920928.0,18450560.0,11.457714215384616,51.628288,77.80729390952375,5,"1,2,3,4",64,101,4.610312697840419,29509824.0,8.065875002648681,51628288.0
v0.1,v0_1_005,cpu,16,0.31223118870033484,2.7852752296692866,5.258330004289746,1861696.0,16607360.0,31353088.0,18.10464374153846,31.353088,42.25562808505988
v0.1,v0_1_006,cpu,16,0.539657264516956,4.8140418566985765,9.088445000816137,1861696.0,16607360.0,31353088.0,18.10464374153846,31.353088,42.25562808505988
v0.1,v0_1_007,cpu,16,0.36473029837716303,3.2535963809649706,6.142475001979619,1861696.0,16607360.0,31353088.0,18.10464374153846,31.353088,42.25562808505988
kexit_greedy_no_hint,kexit_greedy_no_hint_002,cpu,16,0.302785885355997,2.1014572863137113,3.0007955890295426,1861696.0,12920928.0,18450560.0,16.18767094153846,51.628288,68.64573363048865,5,"1,2,3,4",64,101,4.799472194461205,29509824.0,8.396814996376634,51628288.0
