run_id,variant,num_exits,tap_blocks_json,tau,temperatures_json,policy_test_acc,avg_exit_depth,exit_mix_json,expected_mflops,full_mflops,compute_saving_pct,ece_policy,n_mels,frames,num_classes,device,segment_sec,hop_sec,exit_e1,exit_e2,exit_e3,exit_e4,exit_e5
v0_3_004,v0.3,3,,,"[1.4657639265060425, 1.3754422664642334, 0.7937371134757996]",0.8830769230769231,1.209230769230769,"{""e1"": 0.8492307692307692, ""e2"": 0.09230769230769231, ""e3"": 0.05846153846153846}",4.946946363076924,31.353088,84.22182094766256,,64,101,2,cpu,1,0.5,0.8492307692307692,0.0923076923076923,0.0584615384615384,,
v0_3_005,v0.3,3,,,"[1.4657639265060425, 1.3754422664642334, 0.7937371134757996]",0.8830769230769231,1.209230769230769,"{""e1"": 0.8492307692307692, ""e2"": 0.09230769230769231, ""e3"": 0.05846153846153846}",4.946946363076924,31.353088,84.22182094766256,,64,101,2,cpu,1,0.5,0.8492307692307692,0.0923076923076923,0.0584615384615384,,
v0_3_006,v0.3,3,,,"[1.4657639265060425, 1.3754422664642334, 0.7937371134757996]",0.8830769230769231,1.209230769230769,"{""e1"": 0.8492307692307692, ""e2"": 0.09230769230769231, ""e3"": 0.05846153846153846}",4.946946363076924,31.353088,84.22182094766256,,64,101,2,cpu,1,0.5,0.8492307692307692,0.0923076923076923,0.0584615384615384,,
v0_3_007,v0.3,3,,,"[1.4657639265060425, 1.3754422664642334, 0.7937371134757996]",0.8830769230769231,1.209230769230769,"{""e1"": 0.8492307692307692, ""e2"": 0.09230769230769231, ""e3"": 0.05846153846153846}",4.946946363076924,31.353088,84.22182094766256,,64,101,2,cpu,1,0.5,0.8492307692307692,0.0923076923076923,0.0584615384615384,,
v0_3_008,v0.3,3,,,"[1.4657639265060425, 1.3754422664642334, 0.7937371134757996]",0.8830769230769231,1.209230769230769,"{""e1"": 0.8492307692307692, ""e2"": 0.09230769230769231, ""e3"": 0.05846153846153846}",4.946946363076924,31.353088,84.22182094766256,,64,101,2,cpu,1,0.5,0.8492307692307692,0.0923076923076923,0.0584615384615384,,
v0_3_011,v0.3,3,,,"[1.4657639265060425, 1.3754422664642334, 0.7937371134757996]",0.8830769230769231,1.209230769230769,"{""e1"": 0.8492307692307692, ""e2"": 0.09230769230769231, ""e3"": 0.05846153846153846}",4.946946363076924,31.353088,84.22182094766256,,64,101,2,cpu,1,0.5,0.8492307692307692,0.0923076923076923,0.0584615384615384,,
v0_3_013,v0.3,3,,,"[1.4657639265060425, 1.3754422664642334, 0.7937371134757996]",0.8830769230769231,1.209230769230769,"{""e1"": 0.8492307692307692, ""e2"": 0.09230769230769231, ""e3"": 0.05846153846153846}",4.946946363076924,31.353088,84.22182094766256,,64,101,2,cpu,1,0.5,0.8492307692307692,0.0923076923076923,0.0584615384615384,,
v0_3_015,v0.3,3,,,"[1.4657639265060425, 1.3754422664642334, 0.7937371134757996]",0.8830769230769231,1.209230769230769,"{""e1"": 0.8492307692307692, ""e2"": 0.09230769230769231, ""e3"": 0.05846153846153846}",4.946946363076924,31.353088,84.22182094766256,,64,101,2,cpu,1,0.5,0.8492307692307692,0.0923076923076923,0.0584615384615384,,
v0_3_017,v0.3,3,,,"[1.4657639265060425, 1.3754422664642334, 0.7937371134757996]",0.8830769230769231,1.209230769230769,"{""e1"": 0.8492307692307692, ""e2"": 0.09230769230769231, ""e3"": 0.05846153846153846}",4.946946363076924,31.353088,84.22182094766256,,64,101,2,cpu,1,0.5,0.8492307692307692,0.0923076923076923,0.0584615384615384,,
v0_3_018,v0.3,3,,,"[1.4657639265060425, 1.3754422664642334, 0.7937371134757996]",0.8830769230769231,1.209230769230769,"{""e1"": 0.8492307692307692, ""e2"": 0.09230769230769231, ""e3"": 0.05846153846153846}",4.946946363076924,31.353088,84.22182094766256,,64,101,2,cpu,1,0.5,0.8492307692307692,0.0923076923076923,0.0584615384615384,,
v0_3_021,v0.3,3,,,"[1.4657639265060425, 1.3754422664642334, 0.7937371134757996]",0.8830769230769231,1.209230769230769,"{""e1"": 0.8492307692307692, ""e2"": 0.09230769230769231, ""e3"": 0.05846153846153846}",4.946946363076924,31.353088,84.22182094766256,,64,101,2,cpu,1,0.5,0.8492307692307692,0.0923076923076923,0.0584615384615384,,
v0_3_022,v0.3,3,,,"[1.4657639265060425, 1.3754422664642334, 0.7937371134757996]",0.8830769230769231,1.209230769230769,"{""e1"": 0.8492307692307692, ""e2"": 0.09230769230769231, ""e3"": 0.05846153846153846}",4.946946363076924,31.353088,84.22182094766256,,64,101,2,cpu,1,0.5,0.8492307692307692,0.0923076923076923,0.0584615384615384,,
v0_3_019,v0.3,3,,,"[1.383631706237793, 1.027495265007019, 0.9155083894729614]",0.8707692307692307,1.1938461538461538,"{""e1"": 0.8461538461538461, ""e2"": 0.11384615384615385, ""e3"": 0.04}",4.720088812307693,31.353088,84.9453782277915,,64,101,2,cpu,1,0.5,0.8461538461538461,0.1138461538461538,0.04,,
v0_3_020,v0.3,3,,,"[1.383631706237793, 1.027495265007019, 0.9155083894729614]",0.8707692307692307,1.1938461538461538,"{""e1"": 0.8461538461538461, ""e2"": 0.11384615384615385, ""e3"": 0.04}",4.720088812307693,31.353088,84.9453782277915,,64,101,2,cpu,1,0.5,0.8461538461538461,0.1138461538461538,0.04,,
v0_3_009,v0.3,3,,,"[1.6095994710922241, 1.2007904052734375, 0.8325679898262024]",0.8430769230769231,1.1353846153846154,"{""e1"": 0.8953846153846153, ""e2"": 0.07384615384615385, ""e3"": 0.03076923076923077}",3.8580340184615385,31.353088,87.69488345625943,,64,101,2,cpu,1,0.5,0.8953846153846153,0.0738461538461538,0.0307692307692307,,
v0_3_010,v0.3,3,,,"[1.6095994710922241, 1.2007904052734375, 0.8325679898262024]",0.8430769230769231,1.1353846153846154,"{""e1"": 0.8953846153846153, ""e2"": 0.07384615384615385, ""e3"": 0.03076923076923077}",3.8580340184615385,31.353088,87.69488345625943,,64,101,2,cpu,1,0.5,0.8953846153846153,0.0738461538461538,0.0307692307692307,,
v0_3_012,v0.3,3,,,"[1.6095994710922241, 1.2007904052734375, 0.8325679898262024]",0.8430769230769231,1.1353846153846154,"{""e1"": 0.8953846153846153, ""e2"": 0.07384615384615385, ""e3"": 0.03076923076923077}",3.8580340184615385,31.353088,87.69488345625943,,64,101,2,cpu,1,0.5,0.8953846153846153,0.0738461538461538,0.0307692307692307,,
v0_3_014,v0.3,3,,,"[1.6095994710922241, 1.2007904052734375, 0.8325679898262024]",0.8430769230769231,1.1353846153846154,"{""e1"": 0.8953846153846153, ""e2"": 0.07384615384615385, ""e3"": 0.03076923076923077}",3.8580340184615385,31.353088,87.69488345625943,,64,101,2,cpu,1,0.5,0.8953846153846153,0.0738461538461538,0.0307692307692307,,
v0_3_016,v0.3,3,,,"[1.6095994710922241, 1.2007904052734375, 0.8325679898262024]",0.8430769230769231,1.1353846153846154,"{""e1"": 0.8953846153846153, ""e2"": 0.07384615384615385, ""e3"": 0.03076923076923077}",3.8580340184615385,31.353088,87.69488345625943,,64,101,2,cpu,1,0.5,0.8953846153846153,0.0738461538461538,0.0307692307692307,,
