parent_clip_id,Brene_Brown,Eckhart_Tolle,Eric_Thomas,Gary_Vee,Jay_Shetty,Nick_Vujicic,other_speaker_present,music_present,audience_reaction_present,silence_present
Brene_Brown__Brene_Brown__0229,0.9995185,0.002895854366666667,0.00576789489225,0.0037613232580000003,3.1128413e-05,0.00018290036,0.37068237666699166,0.010561603559999999,0.09576902466666666,0.022100935
Brene_Brown__Brene_Brown__0230,0.99957556,0.004672980333333333,0.0019332755,0.01846435162,0.00023880135,0.0006210021,0.5543826320357212,0.05991877606,0.09756271999999999,0.04108173
Brene_Brown__Brene_Brown__0249,0.99867934,0.00012133488633333333,0.00700566812,0.0008269227656,1.1611428e-05,0.00036251073,0.32517691068163834,0.0109505172,0.06684996133333333,0.019201593
Brene_Brown__Brene_Brown__0257,0.9957403,0.00184701519,0.0071350965,0.029599555596,9.0145895e-06,0.00030264832,0.4852327054649437,0.0603675,0.041265670666666664,0.014451417
Brene_Brown__Brene_Brown__0258,0.9945328,0.005078526400000001,0.001148379685,0.0872289268718,4.27896e-05,0.001089043,0.6715039784286663,0.036620837760000004,0.092249235,0.01605162
Brene_Brown__Brene_Brown__0260,0.99979955,0.006268316733333334,0.000555792415,0.004290851582,8.4887746e-05,0.0006981728,0.07704570440300929,0.012974710220000001,0.18142398266666668,0.0417602
Brene_Brown__Brene_Brown__0262,0.97879785,0.004139185,0.004675839,0.01924444633,0.0001315057,0.009032456,0.3941053649530806,0.08776227249999999,0.1867108493333333,0.03025144
Brene_Brown__Brene_Brown__0273,0.9981779,0.0037500468666666668,0.051229799675,0.0009593532839999999,4.2387546e-06,5.3708103e-05,0.37602073110421674,0.0552781784,0.08490432766666667,0.011843847
Brene_Brown__Brene_Brown__0283,0.9998294,0.0014879948666666667,0.0180859846,0.002888683582,7.6800015e-06,7.772689e-05,0.4008058032087972,0.03285736686,0.03806513066666667,0.022022322
Brene_Brown__Brene_Brown__0285,0.9626322,0.004147548783333333,0.07912722866199999,0.22973316800000004,2.831065e-05,0.0012406051,0.2637930458230001,0.23175833124,0.18472913766666665,0.026682526
Brene_Brown__Brene_Brown__0286,0.99812406,0.0018446291899999999,0.003383651475,0.0020167043874999998,0.00015459715,0.00038303173,0.34468470133673246,0.014283679059999999,0.06944243766666666,0.05788647
Brene_Brown__Brene_Brown__0298,0.99958843,0.00234619899,0.00074555325775,0.00289835401568,1.1186783e-05,0.0022257704,0.7371762592729563,0.0045587638779999995,0.3210227,0.024290357
Brene_Brown__Brene_Brown__0305,0.9790157,0.0007526224733333335,0.008468747090000001,0.0010640308394800002,3.5609086e-05,0.008426342,0.6087557856807055,0.05022733386,0.078015045,0.013139041
Brene_Brown__Brene_Brown__0318,0.9913775,0.00046760832666666664,0.0030827802249999998,0.0280102695322,5.8382448e-05,0.0355616,0.4562559323558645,0.033698779814,0.2539994976666667,0.029764853
Brene_Brown__Brene_Brown__0328,0.998804,0.0015203873,0.0211130623,0.00103028314,6.457788e-06,8.411058e-05,0.3088501346810988,0.06103748468000001,0.106484854,0.02437742
Brene_Brown__Brene_Brown__0346,0.997045,0.0013802461133333333,0.0602711244075,0.025615925098,0.0002515271,0.001105127,0.34986678534963966,0.10780728674,0.182057218,0.014201696
Brene_Brown__Brene_Brown__0353,0.99940014,0.0014134338333333333,0.008626804625,0.000753014852,1.8950233e-05,0.0001428467,0.2531052702771702,0.025413190699999998,0.07168419566666666,0.034514777
Brene_Brown__Brene_Brown__0357,0.99951124,0.0016333382666666666,0.001826672629,0.006472884598,1.7174398e-05,0.00076421705,0.43903410319210645,0.0131957378,0.13328445666666666,0.02872929
Brene_Brown__Brene_Brown__0365,0.99203295,0.0012626183166666667,0.0028622312025,0.0118060094006,8.199365e-05,0.016634412,0.9335920755476707,0.01237374964,0.39369217,0.010233841
Brene_Brown__Brene_Brown__0367,0.99733055,0.006830757933333334,0.00204555414425,0.035000745800000004,1.534686e-05,0.009642865,0.5505200348802652,0.005280426520000001,0.143852391,0.040318497
Brene_Brown__Brene_Brown__0382,0.99572766,0.005313690366666668,0.0053249611,0.00377381757,0.0029549315,0.00090959924,0.9666138745730258,0.02751376646,0.6350984733333332,0.060755696
Brene_Brown__Brene_Brown__0383,0.98521507,0.0037763454,0.0548324474,0.0045391269452,0.0015392944,0.00013733277,0.4281389088739965,0.076522753,0.6146441866666666,0.021354064
Brene_Brown__Brene_Brown__0388,0.9974833,0.0027632263333333333,0.0077625939425,0.008425762219999999,3.082759e-05,0.00055028923,0.6732303484708387,0.1872714628,0.33070438333333335,0.014989169
Brene_Brown__Brene_Brown__0393,0.99543154,0.00509609658,0.0067492836175,0.0033976651314000005,2.2614977e-05,0.004302449,0.6672738413857487,0.0210769736,0.13115996666666666,0.012658118
Brene_Brown__Brene_Brown__0394,0.9901861,0.00518525365,0.0447639399825,0.14860526441799998,1.2854024e-05,0.001048677,0.27966547388327867,0.033815339640000004,0.07636255733333333,0.012307486
Brene_Brown__Brene_Brown__0401,0.7638593,0.000672577,0.136102300825,0.00020500171024,0.002134753,0.002372246,0.8049182804442001,0.48014643534,0.018911066,0.012595312
Brene_Brown__Brene_Brown__0406,0.7716623,0.016304532,0.00227785935425,0.04165587020054,0.002577911,0.0018285504,0.9899717191084001,0.6288982944599999,0.2533242216666667,0.056974243
Brene_Brown__Brene_Brown__0407,0.0029223796,0.053766837166666664,0.077720274525,0.02235462465442,0.0007109603,0.0017023643,0.9993361811411161,0.5636143079999999,0.22312139600000003,0.023871075
Brene_Brown__Brene_Brown__0413,0.7673065,0.0011046812666666665,0.1340319177275,0.00129462872486,5.6303503e-05,0.037456855,0.9783726091372777,0.046779561039999994,0.05012747533333334,0.01998652
Brene_Brown__Brene_Brown__0438,0.99423695,0.0012539652133333333,0.0324359834775,0.0012538546387999999,1.730017e-05,0.0014062832,0.9926380935373839,0.026364647440000007,0.05051289766666667,0.049626905
Brene_Brown__Brene_Brown__0449,0.9966834,0.0015452085000000001,0.0179639771,0.0001926508302,1.0797163e-05,0.0019368983,0.9994541492975925,0.046623785768000005,0.04782796066666667,0.02138427
Brene_Brown__Brene_Brown__0454,0.27495885,0.0007184298033333334,0.00089971556,0.00013027849855399998,8.91416e-05,0.024165481,0.9999142942171036,0.0185038222,0.015163069333333334,0.018955007
Brene_Brown__Brene_Brown__0495,0.9992016,0.0007242825033333334,0.0323049038725,1.8416795374e-05,0.00011670659,0.001086808,0.8173811598364542,0.058480727948,0.009979875000000001,0.019331327
Eckhart_Tolle__Eckhart_Tolle__0014,0.00019769352,0.87639152,0.004035338165,0.00033513483388,0.025751991,0.0012195645,0.7636119179887622,0.253399614,0.029790523333333336,0.143965
Eckhart_Tolle__Eckhart_Tolle__0019,0.00011695514,0.9995598600000001,0.023610886214999998,1.5130160040000001e-05,0.00013247582,0.0007910373,0.260461853379532,0.0083054753,0.031368259,0.2168933
Eckhart_Tolle__Eckhart_Tolle__0020,0.001004997,0.9723977966666667,0.000158008024,3.357627254e-05,0.0017698547,0.00012537767,0.7522077248578827,0.035708019605999994,0.025147598333333337,0.18060032
Eckhart_Tolle__Eckhart_Tolle__0027,0.00024877384,0.9979317499999999,0.000844912585,0.0005090501531,0.0016201115,0.00016212338,0.2519555489416868,0.01058216498,0.027058193666666664,0.19170026
Eckhart_Tolle__Eckhart_Tolle__0032,0.0004978359,0.9996573333333334,0.001778768365,0.00277271142292,0.035586137,0.0010579374,0.013929696608495856,0.00980737586,0.04057716766666667,0.41617608
Eckhart_Tolle__Eckhart_Tolle__0035,0.00024792925,0.9962999666666668,0.0008708167965,0.004194737301120001,0.07868942,0.00028844003,0.08932532282421501,0.017023364512000004,0.045394540000000004,0.45440948
Eckhart_Tolle__Eckhart_Tolle__0051,0.00019377755,0.9999314199999999,0.000575845895,2.0389904780000004e-05,0.00073446886,0.00029461115,0.24080933285444228,0.007069361340000001,0.028350183,0.20082581
Eckhart_Tolle__Eckhart_Tolle__0056,0.00013047323,0.9870475666666666,0.0001634133225,0.00047398638336,0.034989104,0.005063838,0.08544136742568387,0.021388162080000002,0.017001178333333332,0.2921505
Eckhart_Tolle__Eckhart_Tolle__0059,0.00037725436,0.9999524366666667,0.0019025057450000001,2.629473968e-05,0.00035768223,0.0003393314,0.07531722275783759,0.0030300290699999998,0.021729718666666665,0.22662589
Eckhart_Tolle__Eckhart_Tolle__0072,4.9673923e-05,0.9984038933333333,0.00079570664,0.0004071106652,0.0039258543,0.00055600563,0.05068200899604147,0.01921116264,0.022723747666666665,0.22862822
Eckhart_Tolle__Eckhart_Tolle__0076,0.00032491842,0.9964543466666665,0.000179705934,0.006462137248159999,0.16588493,0.00035178705,0.12117332994395924,0.035897450799999994,0.040941204,0.64415854
Eckhart_Tolle__Eckhart_Tolle__0092,0.0012280021,0.9988422433333334,0.0021952879075000003,0.00022052204359999998,1.9318753e-05,0.00062530435,0.7188065663337246,0.006672238519999998,0.028680820999999995,0.18205829
Eckhart_Tolle__Eckhart_Tolle__0096,0.00014112632,0.9993125666666667,0.0055769897700000005,4.803688329e-05,0.00016784036,0.0016729954,0.09719128195104909,0.007566169239999999,0.024830719333333334,0.16988179
Eckhart_Tolle__Eckhart_Tolle__0098,0.00071153813,0.9997129433333333,0.0033797520855,7.372983531600002e-05,0.00014938547,0.00059984456,0.09277429879335952,0.013584984520000001,0.021013540333333334,0.15127727
Eckhart_Tolle__Eckhart_Tolle__0103,5.7193374e-05,0.98200619,0.002958889535,0.0056689538892,0.03428819,3.6134144e-05,0.6623535661035957,0.025100028019999998,0.115605079,0.28512856
Eckhart_Tolle__Eckhart_Tolle__0108,0.002371683,0.6183689133333333,0.012760460575,0.0003408778516,0.3721539,0.0014304236,0.047201634385305,0.2000959698,0.057608821666666664,0.34480315
Eckhart_Tolle__Eckhart_Tolle__0120,0.00018238625,0.9995260333333333,0.01113829008,7.401411254000001e-06,9.157709e-05,0.00019971066,0.20644341146095158,0.013014905560000001,0.028683422333333337,0.15187462
Eckhart_Tolle__Eckhart_Tolle__0121,0.035497848,0.99559371,0.008953081385,0.000305582562788,0.018742843,9.028125e-05,0.14121761069763006,0.019893632565999998,0.027048766666666668,0.31746075
Eckhart_Tolle__Eckhart_Tolle__0136,0.00093944964,0.9993319766666667,0.0009640974425,5.208122825e-05,0.00021946486,0.00025292067,0.25720215592039664,0.0036785778999999996,0.026515502999999996,0.23597667
Eckhart_Tolle__Eckhart_Tolle__0137,0.00020942911,0.9979235533333334,0.0011334315549999998,4.28748146e-05,0.0026829345,0.0001822199,0.18139718645097624,0.023902534080000003,0.024755851666666665,0.21035796
Eckhart_Tolle__Eckhart_Tolle__0144,0.0007327411,0.9999822766666666,0.000561850018,0.000650886014284,2.1325623e-05,0.00037679123,0.049351634008356515,0.011596258836799999,0.023245665999999998,0.21495652
